German,French,Italian,Spanish,English
Aus_der_UBahn,lemondefr,Pontifex_it,bbcmundo,HiddenBrain
mainwasser,ouimenon,repubblica,CNNEE,LinusTech
GrumpyMerkel,SemounElie,Corriere,platzi,lexfridman
SPIEGEL_alles,MonsieurDream,StefaniaChiale,perezreverte,hubermanlab
dw_deutsch,valtrier,sferaebbasta,Statista_ES,davidasinclair
dudenverlag,FrancoisFillon,GhaliFoh,Fundeu,nytimes
der_postillon,epelboin,CharlieDope,vonchocolat,CNN
der_spiegel,ApprendreTV5,le_scienze,nayibbukele,POTUS
BahnAnsagen,myourfrench,piulibri21,petitebrunette,ronnychieng
Sprachpingel,gouvernementFR,PremioCalvino,muyinteresante,hasanminhaj
